Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_294_921,VPWR,li1,429.8700,813.2800,1.799924
FILLER_294_909,VPWR,li1,426.4200,813.2800,1.799923
FILLER_294_897,VPWR,li1,420.9000,813.2800,1.799921
FILLER_294_894,VPWR,li1,417.2200,813.2800,1.799920
FILLER_294_882,VPWR,li1,414.0000,813.2800,1.799919
FILLER_294_877,VPWR,li1,409.1700,813.2800,1.799918
FILLER_294_869,VPWR,li1,407.1000,813.2800,1.799918
FILLER_294_860,VPWR,li1,402.9600,813.2800,1.799919
FILLER_294_853,VPWR,li1,398.8200,813.2800,1.799920
FILLER_294_841,VPWR,li1,395.1400,813.2800,1.799921
FILLER_294_839,VPWR,li1,391.6900,813.2800,1.799922
FILLER_294_835,VPWR,li1,390.5400,813.2800,1.799922
FILLER_294_823,VPWR,li1,386.8600,813.2800,1.799923
FILLER_294_813,VPWR,li1,379.9600,813.2800,1.799925
FILLER_294_805,VPWR,li1,376.5100,813.2800,1.799926
FILLER_294_797,VPWR,li1,373.9800,813.2800,1.799929
FILLER_294_785,VPWR,li1,369.3800,813.2800,1.799933
FILLER_294_783,VPWR,li1,365.9300,813.2800,1.799937
FILLER_294_779,VPWR,li1,364.7800,813.2800,1.799937
FILLER_294_769,VPWR,li1,360.1800,813.2800,1.799942
FILLER_294_757,VPWR,li1,356.5000,813.2800,1.799946
FILLER_294_753,VPWR,li1,352.5900,813.2800,1.799950
FILLER_294_741,VPWR,li1,349.1400,813.2800,1.799954
FILLER_294_729,VPWR,li1,343.6200,813.2800,1.799960
FILLER_294_726,VPWR,li1,339.9400,813.2800,1.799963
FILLER_294_717,VPWR,li1,335.5700,813.2800,1.799969
FILLER_294_713,VPWR,li1,334.4200,813.2800,1.799969
FILLER_294_701,VPWR,li1,330.7400,813.2800,1.799975
FILLER_294_694,VPWR,li1,326.1400,813.2800,1.799971
FILLER_294_671,VPWR,li1,314.4100,813.2800,1.799962
FILLER_294_659,VPWR,li1,311.4200,813.2800,1.799961
FILLER_294_653,VPWR,li1,306.5900,813.2800,1.799959
FILLER_294_645,VPWR,li1,304.0600,813.2800,1.799959
FILLER_294_641,VPWR,li1,301.0700,813.2800,1.799958
FILLER_294_629,VPWR,li1,297.6200,813.2800,1.799958
FILLER_294_617,VPWR,li1,292.1000,813.2800,1.799957
FILLER_294_613,VPWR,li1,288.1900,813.2800,1.799956
FILLER_294_601,VPWR,li1,284.7400,813.2800,1.799955
FILLER_294_589,VPWR,li1,279.2200,813.2800,1.799955
FILLER_294_585,VPWR,li1,275.3100,813.2800,1.799954
FILLER_294_573,VPWR,li1,271.8600,813.2800,1.799953
FILLER_294_561,VPWR,li1,266.3400,813.2800,1.799953
FILLER_294_557,VPWR,li1,262.4300,813.2800,1.799952
FILLER_294_545,VPWR,li1,258.9800,813.2800,1.799951
FILLER_294_533,VPWR,li1,253.4600,813.2800,1.799950
FILLER_294_529,VPWR,li1,249.5500,813.2800,1.799950
FILLER_294_517,VPWR,li1,246.1000,813.2800,1.799949
FILLER_294_505,VPWR,li1,240.5800,813.2800,1.799948
FILLER_294_501,VPWR,li1,236.6700,813.2800,1.799948
FILLER_294_489,VPWR,li1,233.2200,813.2800,1.799947
FILLER_294_477,VPWR,li1,227.7000,813.2800,1.799946
FILLER_294_473,VPWR,li1,223.7900,813.2800,1.799946
FILLER_294_461,VPWR,li1,220.3400,813.2800,1.799945
FILLER_294_449,VPWR,li1,214.8200,813.2800,1.799944
FILLER_294_445,VPWR,li1,210.9100,813.2800,1.799944
FILLER_294_433,VPWR,li1,207.4600,813.2800,1.799943
FILLER_294_421,VPWR,li1,201.9400,813.2800,1.799942
FILLER_294_417,VPWR,li1,198.0300,813.2800,1.799941
FILLER_294_405,VPWR,li1,194.5800,813.2800,1.799941
FILLER_294_393,VPWR,li1,189.0600,813.2800,1.799940
FILLER_294_391,VPWR,li1,185.6100,813.2800,1.799939
FILLER_294_385,VPWR,li1,184.0000,813.2800,1.799939
FILLER_294_373,VPWR,li1,179.8600,813.2800,1.799939
FILLER_294_361,VPWR,li1,172.2700,813.2800,1.799909
FILLER_294_351,VPWR,li1,167.4400,813.2800,1.799885
FILLER_294_337,VPWR,li1,161.0000,813.2800,1.799855
FILLER_294_333,VPWR,li1,159.3900,813.2800,1.799855
FILLER_294_309,VPWR,li1,148.1200,813.2800,1.799808
FILLER_294_281,VPWR,li1,135.0100,813.2800,1.799772
FILLER_294_279,VPWR,li1,134.0900,813.2800,1.799772
FILLER_294_267,VPWR,li1,128.5700,813.2800,1.799760
FILLER_294_253,VPWR,li1,122.5900,813.2800,1.799751
FILLER_294_230,VPWR,li1,111.5500,813.2800,1.799743
FILLER_294_225,VPWR,li1,109.4800,813.2800,1.799743
FILLER_294_223,VPWR,li1,108.3300,813.2800,1.799743
FILLER_294_217,VPWR,li1,106.0300,813.2800,1.799743
FILLER_294_209,VPWR,li1,103.5000,813.2800,1.799743
FILLER_294_197,VPWR,li1,98.9000,813.2800,1.799743
FILLER_294_193,VPWR,li1,94.9900,813.2800,1.799743
FILLER_294_181,VPWR,li1,91.5400,813.2800,1.799743
