net,length_um
chacha_unit.U_QR_COL_2.in_b\[28\],694.41µm
net641,694.36µm
net1360,693.81µm
out_key_ptr\[0\],691.83µm
chacha_unit.U_QR_COL_2.in_c\[5\],690.545µm
net1358,690.52µm
chacha_unit.U_QR_COL_2.in_b\[16\],685.88µm
chacha_unit.U_QR_COL_3.in_c\[14\],685.83µm
net656,685.6µm
chacha_unit.U_QR_COL_0.in_d\[8\],685.52µm
chacha_unit.U_QR_COL_0.in_d\[4\],684.98µm
chacha_unit.U_QR_COL_3.in_c\[3\],683.65µm
net663,682.53µm
_11390_,681.82µm
net661,681.46µm
chacha_unit.U_QR_COL_2.in_c\[2\],680.505µm
net575,680.42µm
chacha_unit.U_QR_COL_0.in_b\[5\],680.415µm
chacha_unit.U_QR_COL_0.in_d\[3\],680.025µm
chacha_unit.U_QR_COL_0.in_d\[1\],677.385µm
chacha_unit.U_QR_COL_0.in_d\[10\],676.845µm
net709,675.94µm
chacha_unit.U_QR_COL_0.in_b\[15\],674.38µm
chacha_unit.U_QR_COL_0.in_d\[5\],673.77µm
net699,673.77µm
net692,673.755µm
net1228,670.19µm
_06699_,669µm
_09889_,668.36µm
chacha_unit.U_QR_COL_0.in_d\[2\],667.46µm
chacha_unit.U_QR_COL_2.in_c\[10\],666.495µm
_11402_,666.23µm
net622,665.3µm
net666,663.85µm
chacha_unit.U_QR_COL_2.in_c\[18\],662.8µm
net1034,661.9µm
chacha_unit.U_QR_COL_3.in_c\[16\],659.56µm
chacha_unit.U_QR_COL_3.in_c\[2\],658.36µm
chacha_unit.U_QR_COL_0.in_b\[17\],656.91µm
chacha_unit.U_QR_COL_3.in_d\[6\],656.585µm
chacha_unit.U_QR_COL_3.in_d\[4\],655.77µm
chacha_unit.U_QR_COL_2.in_c\[20\],655.485µm
chacha_unit.U_QR_COL_0.in_c\[2\],654.59µm
net553,651.88µm
chacha_unit.U_QR_COL_1.in_a\[10\],651.68µm
chacha_unit.U_QR_COL_0.in_a\[8\],650.76µm
net682,650.13µm
chacha_unit.U_QR_COL_0.in_b\[18\],650.1µm
chacha_unit.U_QR_COL_3.in_d\[12\],650.075µm
chacha_unit.U_QR_COL_1.in_b\[3\],649.7µm
chacha_unit.U_QR_COL_3.in_d\[5\],649.645µm
chacha_unit.U_QR_COL_3.in_c\[15\],648.12µm
chacha_unit.U_QR_COL_0.in_d\[6\],647.905µm
chacha_unit.U_QR_COL_0.in_d\[12\],645.485µm
net606,643.89µm
chacha_unit.U_QR_COL_3.in_b\[7\],643.82µm
net697,643.74µm
net908,642.89µm
chacha_unit.U_QR_COL_0.in_c\[5\],642.525µm
net570,641.46µm
net636,637.89µm
net525,637.57µm
chacha_unit.U_QR_COL_3.in_c\[7\],635.92µm
net1027,635.48µm
chacha_unit.U_QR_COL_1.in_a\[11\],633.97µm
chacha_unit.U_QR_COL_0.in_b\[10\],633.935µm
net1017,633.055µm
chacha_unit.U_QR_COL_1.in_a\[1\],632.53µm
chacha_unit.U_QR_COL_2.in_c\[19\],631.19µm
chacha_unit.U_QR_COL_0.in_d\[14\],628.47µm
net1016,627.735µm
net904,627.69µm
chacha_unit.U_QR_COL_0.in_a\[2\],625.92µm
chacha_unit.U_QR_COL_2.in_c\[29\],625.53µm
chacha_unit.U_QR_COL_0.in_c\[1\],625.4µm
net901,623.97µm
net557,623.8µm
chacha_unit.U_QR_COL_2.in_c\[21\],623.6µm
_10537_,621.4µm
chacha_unit.U_QR_COL_2.in_c\[17\],621.26µm
chacha_unit.U_QR_COL_3.in_c\[27\],620.75µm
_10105_,620.42µm
net902,619.09µm
_11763_,618.91µm
net728,617.46µm
net883,617µm
_08373_,616.6µm
chacha_unit.U_QR_COL_2.in_c\[12\],616.53µm
net1267,615.81µm
chacha_unit.U_QR_COL_2.in_b\[22\],615.75µm
chacha_unit.U_QR_COL_2.in_c\[28\],615.23µm
chacha_unit.U_QR_COL_3.in_d\[11\],614.235µm
chacha_unit.U_QR_COL_3.in_c\[1\],611.79µm
clknet_5_4__leaf_clk,611.72µm
net689,610.54µm
chacha_unit.U_QR_COL_3.in_d\[3\],609.67µm
chacha_unit.U_QR_COL_2.in_c\[31\],608.625µm
chacha_unit.U_QR_COL_0.in_b\[7\],608.535µm
_10320_,608.3µm
net1195,606.72µm
net651,606.71µm
chacha_unit.U_QR_COL_0.in_a\[0\],606.575µm
_11764_,606.43µm
chacha_unit.U_QR_COL_2.in_c\[30\],605.445µm
chacha_unit.U_QR_COL_3.in_b\[6\],605.01µm
chacha_unit.U_QR_COL_2.in_b\[26\],604.02µm
_07505_,603.88µm
_11023_,603.1µm
chacha_unit.U_QR_COL_0.in_c\[0\],602.505µm
net563,602.42µm
chacha_unit.U_QR_COL_3.in_d\[2\],601.89µm
net627,600.25µm
chacha_unit.U_QR_COL_3.in_b\[15\],600.06µm
chacha_unit.U_QR_COL_2.in_c\[25\],599.785µm
_07939_,596.98µm
chacha_unit.U_QR_COL_2.in_c\[9\],596.62µm
chacha_unit.U_QR_COL_2.in_c\[1\],595.63µm
chacha_unit.U_QR_COL_0.in_d\[13\],595.22µm
chacha_unit.U_QR_COL_1.in_b\[1\],594.11µm
net565,593.56µm
chacha_unit.U_QR_COL_0.in_a\[10\],593.14µm
chacha_unit.U_QR_COL_1.in_b\[2\],592.54µm
chacha_unit.U_QR_COL_2.in_c\[0\],591.98µm
net730,591.42µm
chacha_unit.U_QR_COL_0.in_a\[6\],589.93µm
net677,589.6µm
chacha_unit.U_QR_COL_2.in_c\[14\],588.845µm
chacha_unit.U_QR_COL_3.in_d\[8\],588.235µm
net1474,587.81µm
chacha_unit.U_QR_COL_0.in_c\[3\],587.155µm
_07072_,586.55µm
net1023,586.32µm
net432,585.48µm
_11022_,584.75µm
chacha_unit.U_QR_COL_1.in_b\[4\],583.1µm
chacha_unit.U_QR_COL_1.in_a\[16\],582.44µm
net540,580.08µm
