net,length_um
net595,116.14µm
clknet_leaf_339_clk,116.06µm
net1617,115.93µm
_14947_,115.82µm
_13362_,115.74µm
_15445_,115.74µm
net1467,115.65µm
clknet_leaf_94_clk,115.6µm
net531,115.55µm
_11279_,115.34µm
_03796_,115.32µm
chacha_unit.U_QR_COL_3.in_a\[4\],115.27µm
_10049_,115.26µm
clknet_leaf_249_clk,115.24µm
net1531,115.03µm
_12521_,115.02µm
_14802_,115µm
_11784_,114.99µm
chacha_unit.ciphertext\[87\],114.96µm
net1517,114.93µm
_15157_,114.86µm
clknet_leaf_359_clk,114.86µm
net1475,114.83µm
clknet_leaf_265_clk,114.78µm
net921,114.65µm
_05388_,114.62µm
clknet_leaf_292_clk,114.62µm
_11248_,114.6µm
net1447,114.6µm
net960,114.58µm
net242,114.42µm
_06478_,114.4µm
_08562_,114.34µm
_14301_,114.34µm
net477,114.26µm
net1117,114.25µm
net1387,114.15µm
chacha_unit.U_QR_COL_2.in_a\[24\],114.08µm
chacha_unit.nonce\[72\],114.08µm
_06903_,114.06µm
_13708_,113.92µm
_10471_,113.9µm
net1533,113.82µm
net1715,113.8µm
clknet_leaf_65_clk,113.8µm
net44,113.74µm
net1706,113.74µm
_10910_,113.62µm
net1773,113.54µm
_05677_,113.52µm
_13453_,113.46µm
fsm_state\[5\],113.46µm
net784,113.46µm
clknet_leaf_19_clk,113.44µm
net1619,113.41µm
_14431_,113.4µm
_13151_,113.34µm
_14989_,113.33µm
_14663_,113.28µm
net1611,113.19µm
_11819_,113.16µm
clknet_leaf_331_clk,113.08µm
net198,113.06µm
clknet_leaf_338_clk,113.02µm
_05598_,112.88µm
_14906_,112.85µm
chacha_unit.U_QR_COL_2.in_a\[25\],112.8µm
clknet_leaf_291_clk,112.78µm
_14044_,112.7µm
_05119_,112.66µm
_11161_,112.66µm
_03539_,112.64µm
_15052_,112.64µm
_05800_,112.6µm
_05606_,112.56µm
_07062_,112.56µm
_11210_,112.52µm
net1535,112.45µm
net990,112.345µm
_05063_,112.33µm
_15188_,112.26µm
_08293_,112.24µm
net56,112.24µm
clknet_leaf_324_clk,112.19µm
clknet_leaf_286_clk,112.18µm
net321,112.1µm
net584,112.06µm
_14881_,112.04µm
_03118_,112.02µm
net1212,111.86µm
net1150,111.815µm
_14826_,111.8µm
_13108_,111.76µm
_10864_,111.74µm
chacha_unit.ciphertext\[505\],111.74µm
clknet_leaf_91_clk,111.7µm
chacha_unit.U_QR_COL_2.in_a\[1\],111.58µm
net1090,111.51µm
chacha_unit.U_QR_COL_2.in_a\[3\],111.46µm
chacha_unit.key\[95\],111.23µm
net1490,111.09µm
net11,111.08µm
net1664,111.07µm
_06998_,111.02µm
net9,111µm
_03801_,110.96µm
net1670,110.72µm
_04104_,110.6µm
_14563_,110.48µm
net1690,110.48µm
_03268_,110.46µm
clknet_leaf_181_clk,110.45µm
clknet_leaf_11_clk,110.44µm
_14985_,110.28µm
net1542,110.2µm
clknet_leaf_270_clk,110.18µm
_12553_,110.14µm
clknet_leaf_20_clk,110.04µm
_12272_,109.98µm
clknet_leaf_280_clk,109.98µm
_12253_,109.95µm
chacha_unit.U_QR_COL_1.in_b\[15\],109.89µm
_11198_,109.86µm
net1417,109.86µm
clknet_leaf_100_clk,109.84µm
_05078_,109.78µm
net1395,109.77µm
_05453_,109.72µm
clknet_leaf_101_clk,109.62µm
clknet_leaf_272_clk,109.62µm
_05987_,109.6µm
_05410_,109.56µm
_03185_,109.52µm
_13467_,109.46µm
_13851_,109.435µm
chacha_unit.key\[117\],109.38µm
net375,109.34µm
_08405_,109.32µm
clknet_leaf_27_clk,109.31µm
_07821_,109.3µm
_05909_,109.29µm
_13908_,109.2µm
net1612,109.16µm
chacha_unit.U_QR_COL_2.in_a\[10\],109.12µm
net983,109.11µm
net1503,109.11µm
clknet_leaf_178_clk,108.995µm
_07967_,108.94µm
_12027_,108.92µm
_15579_,108.88µm
net1408,108.87µm
_03103_,108.8µm
net518,108.795µm
_03264_,108.74µm
_03170_,108.73µm
_04876_,108.72µm
clknet_leaf_344_clk,108.72µm
net15,108.7µm
clknet_leaf_191_clk,108.695µm
net1317,108.62µm
_13740_,108.5µm
net996,108.5µm
_13115_,108.46µm
_14016_,108.46µm
_03665_,108.4µm
_05917_,108.38µm
net1206,108.3µm
_03239_,108.2µm
net1707,108.2µm
_15393_,108.13µm
net1606,108.1µm
chacha_unit.ciphertext\[466\],108.09µm
_04923_,108.08µm
clknet_leaf_82_clk,108.06µm
_11249_,107.975µm
_13995_,107.94µm
_08254_,107.92µm
net1704,107.91µm
net1469,107.88µm
_13125_,107.84µm
_11090_,107.82µm
_12761_,107.82µm
_05565_,107.78µm
net1587,107.75µm
_07827_,107.7µm
net843,107.66µm
net1427,107.63µm
_12178_,107.62µm
_13205_,107.4µm
net1683,107.37µm
_06671_,107.36µm
_04089_,107.19µm
_14945_,107.02µm
net492,107.02µm
net1393,106.98µm
_07002_,106.96µm
_10923_,106.94µm
net1793,106.94µm
clknet_leaf_236_clk,106.86µm
_05609_,106.85µm
net1576,106.85µm
_15465_,106.84µm
_10833_,106.82µm
_13498_,106.82µm
clknet_leaf_205_clk,106.82µm
net1513,106.7µm
net1637,106.69µm
_03744_,106.68µm
clknet_leaf_103_clk,106.67µm
net582,106.635µm
chacha_unit.key\[48\],106.58µm
net43,106.54µm
_13345_,106.53µm
_14575_,106.42µm
_10889_,106.38µm
_14994_,106.34µm
_10936_,106.32µm
_10687_,106.28µm
net1149,106.28µm
_06762_,106.26µm
_12070_,106.22µm
_15475_,106.16µm
_15537_,106.16µm
_15250_,106.1µm
net1761,106.08µm
_12570_,106.04µm
net1193,106.02µm
net1446,106µm
net1495,105.99µm
chacha_unit.key\[200\],105.96µm
net1392,105.95µm
current_chunk_id\[4\],105.92µm
net1639,105.74µm
net1596,105.715µm
_13956_,105.7µm
net466,105.66µm
_14792_,105.64µm
_08967_,105.58µm
_14645_,105.56µm
net1692,105.56µm
chacha_unit.ciphertext\[464\],105.48µm
clknet_leaf_4_clk,105.46µm
_13090_,105.4µm
_03649_,105.35µm
clknet_leaf_325_clk,105.3µm
_14899_,105.24µm
clknet_leaf_198_clk,105.22µm
net1309,105.17µm
_14312_,105.16µm
net1300,105.16µm
chacha_unit.key\[61\],105.14µm
clknet_leaf_167_clk,105.1µm
clknet_leaf_96_clk,105.08µm
_05002_,104.99µm
_05499_,104.9µm
_03368_,104.56µm
net1641,104.55µm
net1094,104.54µm
clknet_leaf_341_clk,104.54µm
net1594,104.53µm
_12855_,104.5µm
_04548_,104.46µm
_03754_,104.44µm
_15165_,104.44µm
_06607_,104.42µm
net1529,104.27µm
chacha_unit.nonce\[1\],104.26µm
_08726_,104.255µm
_11337_,104.18µm
clknet_leaf_211_clk,104.18µm
_04625_,104.12µm
clknet_leaf_281_clk,104.05µm
_04829_,104.02µm
net1592,103.94µm
_14313_,103.935µm
net1108,103.71µm
chacha_unit.key\[30\],103.68µm
net67,103.66µm
_06064_,103.64µm
clknet_leaf_13_clk,103.62µm
_13426_,103.58µm
_04760_,103.56µm
net1600,103.55µm
net72,103.54µm
_13117_,103.49µm
_13907_,103.47µm
_14064_,103.34µm
net947,103.3µm
net957,103.22µm
_13897_,103.2µm
_06304_,103.18µm
net8,103.18µm
net1137,103.14µm
_04651_,103.02µm
_04761_,102.945µm
_06922_,102.88µm
clknet_leaf_156_clk,102.82µm
_06252_,102.76µm
_12129_,102.64µm
net1404,102.58µm
clknet_leaf_177_clk,102.58µm
_05552_,102.56µm
_13898_,102.54µm
net1497,102.49µm
net1642,102.42µm
_05815_,102.34µm
net145,102.18µm
_05664_,102.17µm
net1585,102.16µm
clknet_leaf_245_clk,102.12µm
_05742_,102.08µm
_12520_,102.08µm
clknet_leaf_212_clk,102.08µm
_12259_,102.05µm
clknet_leaf_361_clk,102.02µm
net1401,102.01µm
_04359_,102µm
_12550_,101.98µm
_13381_,101.96µm
net37,101.94µm
net1632,101.84µm
net1725,101.81µm
net1100,101.8µm
_14161_,101.76µm
net3608,101.66µm
_14880_,101.65µm
_08722_,101.56µm
current_chunk_id\[0\],101.54µm
_05610_,101.52µm
chacha_unit.key\[232\],101.51µm
net1153,101.51µm
_07642_,101.42µm
_09819_,101.42µm
_14023_,101.42µm
chacha_unit.ciphertext\[402\],101.42µm
net1575,101.38µm
_15386_,101.32µm
_13734_,101.31µm
_05646_,101.28µm
_04943_,101.2µm
net1521,101.18µm
_15292_,101µm
_04096_,100.98µm
net1905,100.9µm
_13323_,100.64µm
_03813_,100.6µm
_05376_,100.58µm
_06551_,100.58µm
_06048_,100.5µm
chacha_unit.key\[121\],100.42µm
net1088,100.39µm
net1588,100.38µm
chacha_unit.key\[239\],100.24µm
_14419_,100.2µm
_03566_,100.14µm
_06516_,100.06µm
_03771_,100.04µm
net950,100.04µm
_06309_,99.92µm
net1435,99.91µm
_03090_,99.88µm
_04014_,99.88µm
_05755_,99.84µm
clknet_leaf_187_clk,99.78µm
chacha_unit.ciphertext\[469\],99.76µm
net1547,99.76µm
_14408_,99.74µm
_03663_,99.7µm
_09268_,99.7µm
clknet_leaf_351_clk,99.7µm
clknet_leaf_153_clk,99.68µm
_11138_,99.64µm
_03527_,99.62µm
net911,99.61µm
_15297_,99.6µm
_07869_,99.56µm
_03273_,99.44µm
_13571_,99.42µm
clknet_leaf_256_clk,99.34µm
clknet_leaf_64_clk,99.3µm
_04300_,99.29µm
_05956_,99.28µm
net1179,99.28µm
_06283_,99.22µm
net1665,99.19µm
chacha_unit.ciphertext\[377\],99.18µm
net1421,99.12µm
_10835_,99.04µm
clknet_leaf_168_clk,99.02µm
_15331_,98.82µm
net1695,98.79µm
clknet_leaf_196_clk,98.77µm
net1279,98.76µm
clknet_leaf_203_clk,98.74µm
_09945_,98.715µm
_03191_,98.68µm
net1304,98.66µm
_11162_,98.64µm
_03679_,98.62µm
_03042_,98.585µm
_04766_,98.55µm
clknet_leaf_297_clk,98.52µm
_06807_,98.4µm
clknet_leaf_266_clk,98.37µm
clknet_leaf_235_clk,98.32µm
_08188_,98.28µm
clknet_leaf_299_clk,98.28µm
net1306,98.22µm
clknet_leaf_271_clk,98.045µm
clknet_leaf_284_clk,98.02µm
_12403_,98.01µm
chacha_unit.key\[88\],97.85µm
chacha_unit.key\[35\],97.82µm
net1319,97.8µm
clknet_leaf_367_clk,97.76µm
net1448,97.75µm
net1658,97.74µm
_13616_,97.68µm
chacha_unit.key\[233\],97.66µm
_14457_,97.62µm
_11155_,97.58µm
net1546,97.42µm
net1089,97.3µm
_05632_,97.27µm
net1555,97.21µm
net1443,97.19µm
_13955_,97.16µm
_15180_,97.13µm
_04471_,97.06µm
_05885_,97.06µm
_11829_,96.98µm
net1197,96.955µm
_12414_,96.9µm
_14166_,96.9µm
_11061_,96.88µm
net1494,96.75µm
clknet_leaf_12_clk,96.62µm
_11781_,96.6µm
_04820_,96.5µm
net1621,96.45µm
clknet_leaf_6_clk,96.42µm
chacha_unit.nonce\[83\],96.4µm
_07859_,96.38µm
_14154_,96.38µm
clknet_leaf_102_clk,96.34µm
_05168_,96.32µm
_05397_,96.25µm
_14984_,96.15µm
net1492,96.14µm
net1414,96.11µm
net1580,96.1µm
clknet_leaf_366_clk,96.06µm
net1602,96.03µm
net1281,96µm
clknet_leaf_88_clk,96µm
chacha_unit.key\[129\],95.98µm
net1191,95.72µm
_03334_,95.62µm
net1460,95.6µm
chacha_unit.key\[118\],95.58µm
_06841_,95.56µm
net1767,95.53µm
_11052_,95.48µm
net1463,95.37µm
_04667_,95.36µm
_10226_,95.36µm
_15360_,95.36µm
chacha_unit.ciphertext\[279\],95.34µm
net1582,95.25µm
acquire_sub_state\[1\],95.2µm
_09358_,95.18µm
net966,95.18µm
net1723,95.18µm
net38,95.12µm
net383,95.12µm
clknet_leaf_68_clk,95.1µm
_12679_,95.085µm
_14889_,95.06µm
_15288_,95.04µm
_12215_,94.97µm
net1571,94.94µm
_15166_,94.93µm
_15330_,94.9µm
net1488,94.9µm
net1379,94.89µm
chacha_unit.ciphertext\[415\],94.86µm
net1700,94.84µm
net50,94.72µm
_02982_,94.7µm
net929,94.7µm
net1461,94.7µm
_12770_,94.66µm
_09131_,94.64µm
net978,94.605µm
_03200_,94.6µm
net1839,94.6µm
net1103,94.53µm
net1840,94.4µm
chacha_unit.U_QR_COL_3.in_a\[13\],94.34µm
net994,94.315µm
_03524_,94.26µm
clknet_leaf_300_clk,94.26µm
_08331_,94.24µm
_07170_,94.195µm
clknet_leaf_43_clk,94.16µm
clknet_leaf_106_clk,94.16µm
_13551_,94.14µm
_12408_,94.07µm
clknet_leaf_125_clk,94.04µm
net769,94.02µm
_03967_,93.94µm
clknet_leaf_104_clk,93.92µm
_09376_,93.91µm
clknet_leaf_67_clk,93.86µm
_07425_,93.8µm
_09400_,93.8µm
clknet_leaf_329_clk,93.8µm
_12071_,93.76µm
clknet_leaf_210_clk,93.76µm
net1569,93.61µm
net856,93.54µm
net367,93.46µm
net1399,93.45µm
chacha_unit.key\[229\],93.44µm
_05694_,93.41µm
_10866_,93.4µm
clknet_leaf_308_clk,93.4µm
_15548_,93.33µm
_11944_,93.32µm
_05724_,93.31µm
_04821_,93.28µm
_09848_,93.28µm
_14195_,93.26µm
_04786_,93.19µm
_15426_,93.19µm
net1622,93.17µm
_12083_,93.14µm
_03300_,93.06µm
_05336_,93.06µm
_04798_,93.02µm
net59,93.02µm
_06658_,92.94µm
chacha_unit.key\[43\],92.94µm
_15470_,92.9µm
net453,92.9µm
net1545,92.84µm
_05383_,92.78µm
net1397,92.78µm
_08943_,92.74µm
clknet_leaf_121_clk,92.7µm
_04892_,92.69µm
net1445,92.57µm
_12970_,92.5µm
_06881_,92.44µm
net1431,92.44µm
clknet_leaf_176_clk,92.44µm
_05544_,92.4µm
_02987_,92.38µm
_09155_,92.38µm
_12933_,92.38µm
_14459_,92.38µm
trng_inst.shift_reg\[9\],92.38µm
chacha_unit.ciphertext\[215\],92.36µm
chacha_unit.key\[58\],92.36µm
clknet_leaf_2_clk,92.32µm
_09554_,92.3µm
net736,92.3µm
clknet_leaf_54_clk,92.3µm
clknet_leaf_111_clk,92.3µm
clknet_leaf_166_clk,92.25µm
_10949_,92.22µm
net1544,92.2µm
_14974_,92.18µm
_05392_,92.14µm
clknet_leaf_250_clk,92.13µm
_05796_,92.11µm
net1864,92.04µm
net4148,92.04µm
net1383,91.96µm
clknet_leaf_336_clk,91.94µm
chacha_unit.key\[21\],91.84µm
_11813_,91.8µm
_05603_,91.79µm
clknet_leaf_218_clk,91.72µm
_05490_,91.68µm
clknet_leaf_105_clk,91.66µm
net1615,91.65µm
_12599_,91.62µm
clknet_leaf_337_clk,91.58µm
clknet_leaf_349_clk,91.58µm
_15339_,91.57µm
clknet_leaf_57_clk,91.52µm
clknet_leaf_5_clk,91.44µm
_03005_,91.42µm
net913,91.28µm
_12757_,91.25µm
_13480_,91.16µm
_04737_,91.1µm
_15357_,91.095µm
net1390,91.08µm
net354,91.02µm
_10527_,90.98µm
_12173_,90.96µm
net1455,90.96µm
clknet_leaf_283_clk,90.92µm
_10642_,90.9µm
net4146,90.9µm
net1659,90.85µm
chacha_unit.U_QR_COL_2.in_a\[12\],90.81µm
chacha_unit.U_QR_COL_2.in_a\[9\],90.78µm
_11785_,90.76µm
clknet_leaf_44_clk,90.74µm
_15220_,90.65µm
net1604,90.58µm
net1382,90.55µm
clknet_leaf_354_clk,90.54µm
_10212_,90.46µm
_10660_,90.44µm
clknet_leaf_184_clk,90.435µm
clknet_leaf_285_clk,90.36µm
_15106_,90.31µm
_15173_,90.31µm
_09579_,90.2µm
_13608_,90.18µm
_11719_,90.14µm
net1769,90.12µm
_13646_,90.1µm
net66,90.08µm
chacha_unit.key\[177\],90.01µm
_13168_,90µm
_15021_,89.88µm
net744,89.86µm
clknet_leaf_157_clk,89.78µm
_04913_,89.74µm
_04862_,89.66µm
_05573_,89.56µm
_03366_,89.54µm
_03750_,89.52µm
clknet_leaf_369_clk,89.485µm
_12775_,89.46µm
_12273_,89.42µm
net1268,89.42µm
_14007_,89.4µm
_14183_,89.36µm
clknet_leaf_185_clk,89.325µm
_04844_,89.32µm
clknet_leaf_334_clk,89.32µm
_07943_,89.22µm
_04822_,89.16µm
clknet_leaf_56_clk,89.14µm
_11941_,89.12µm
clknet_leaf_248_clk,89.12µm
_13637_,89.09µm
_05160_,89.08µm
net470,89.06µm
clknet_leaf_108_clk,89.06µm
_05398_,88.985µm
clknet_leaf_58_clk,88.76µm
_10638_,88.7µm
chacha_unit.key\[158\],88.64µm
chacha_unit.key\[67\],88.585µm
net753,88.54µm
_12433_,88.53µm
_10807_,88.5µm
_14865_,88.48µm
net1105,88.4µm
_14409_,88.26µm
_14862_,88.18µm
clknet_leaf_246_clk,88.14µm
_05574_,88.12µm
_12872_,88.12µm
net1402,88.105µm
net504,88.055µm
_15466_,88.03µm
_15086_,87.94µm
_07439_,87.9µm
_04697_,87.82µm
_12906_,87.8µm
_06987_,87.74µm
_05275_,87.66µm
clknet_leaf_95_clk,87.58µm
_12079_,87.575µm
_05458_,87.54µm
_12569_,87.51µm
chacha_unit.U_QR_COL_3.in_a\[5\],87.475µm
net1372,87.42µm
net1675,87.42µm
_12142_,87.415µm
_11807_,87.4µm
_08904_,87.34µm
_10748_,87.28µm
clknet_leaf_117_clk,87.24µm
_03133_,87.2µm
_03766_,87.14µm
_12926_,87.13µm
clknet_leaf_365_clk,87.08µm
net1462,87.06µm
_04170_,87.04µm
clknet_leaf_62_clk,87.04µm
_10631_,86.86µm
_14010_,86.84µm
net1568,86.83µm
clknet_leaf_259_clk,86.82µm
_03015_,86.76µm
_03542_,86.74µm
clknet_leaf_195_clk,86.56µm
_12676_,86.51µm
_04387_,86.5µm
_11909_,86.48µm
net1572,86.47µm
_04884_,86.46µm
_07786_,86.46µm
net254,86.46µm
_07765_,86.42µm
_04939_,86.4µm
net362,86.4µm
clknet_leaf_257_clk,86.36µm
clknet_leaf_356_clk,86.32µm
_03231_,86.24µm
net1298,86.24µm
net1384,86.21µm
_11904_,86.18µm
clknet_leaf_112_clk,86.1µm
_04725_,86.08µm
net1578,86.08µm
net1144,86.06µm
net1385,86.05µm
_12370_,86.04µm
_04909_,86µm
_07537_,85.98µm
net1453,85.94µm
clknet_leaf_326_clk,85.94µm
_10148_,85.92µm
chacha_unit.key\[26\],85.92µm
chacha_unit.U_QR_COL_2.in_a\[4\],85.9µm
clknet_leaf_269_clk,85.9µm
clknet_leaf_171_clk,85.89µm
_07397_,85.82µm
net1441,85.82µm
chacha_unit.ciphertext\[473\],85.64µm
clknet_leaf_93_clk,85.58µm
_03802_,85.54µm
net1717,85.53µm
net1325,85.515µm
net1434,85.44µm
clknet_leaf_345_clk,85.425µm
_10154_,85.42µm
_14649_,85.42µm
_11842_,85.4µm
clknet_leaf_84_clk,85.34µm
chacha_unit.key\[75\],85.335µm
_04479_,85.32µm
_04490_,85.3µm
_12731_,85.24µm
_11030_,85.22µm
_05611_,85.18µm
_08171_,85.16µm
_09805_,85.14µm
clknet_leaf_52_clk,85.13µm
_03355_,85.12µm
_11925_,85.06µm
_11260_,85.02µm
net1496,84.87µm
_07614_,84.86µm
clknet_leaf_152_clk,84.76µm
_07453_,84.7µm
clknet_leaf_355_clk,84.7µm
net1378,84.69µm
_03299_,84.62µm
net1552,84.605µm
net25,84.58µm
_06924_,84.46µm
_03254_,84.44µm
net1549,84.39µm
chacha_unit.U_QR_COL_2.in_a\[31\],84.32µm
clknet_leaf_200_clk,84.255µm
_03243_,84.2µm
_05658_,84.2µm
_13661_,84.16µm
net1540,84.13µm
clknet_leaf_1_clk,84.1µm
_04904_,84.06µm
clknet_leaf_175_clk,83.96µm
_04107_,83.95µm
net1376,83.92µm
net47,83.9µm
_15076_,83.86µm
chacha_unit.key\[63\],83.82µm
net1288,83.8µm
_03737_,83.79µm
clknet_leaf_347_clk,83.79µm
_08114_,83.72µm
net1438,83.68µm
clknet_leaf_164_clk,83.68µm
_07081_,83.67µm
net1541,83.67µm
_11103_,83.66µm
net1548,83.66µm
net859,83.6µm
net1394,83.58µm
_03124_,83.57µm
_11251_,83.5µm
chacha_unit.key\[136\],83.48µm
net1504,83.41µm
_11100_,83.32µm
_04100_,83.28µm
_07652_,83.26µm
clknet_leaf_18_clk,83.26µm
clknet_leaf_330_clk,83.055µm
_07022_,82.98µm
_15241_,82.96µm
net857,82.9µm
_13724_,82.86µm
_11833_,82.79µm
_11924_,82.75µm
_05793_,82.74µm
net1526,82.7µm
_12450_,82.63µm
net1478,82.56µm
_07764_,82.52µm
_11820_,82.52µm
_14887_,82.52µm
clknet_leaf_278_clk,82.52µm
_03580_,82.49µm
net22,82.46µm
net1566,82.46µm
clknet_leaf_282_clk,82.46µm
_06773_,82.41µm
clknet_leaf_51_clk,82.36µm
_04636_,82.3µm
_08915_,82.3µm
_06686_,82.22µm
_00000_,82.2µm
_11049_,82.16µm
_04512_,82.14µm
clknet_leaf_47_clk,81.995µm
_04566_,81.99µm
_15134_,81.94µm
_10654_,81.7µm
_13725_,81.64µm
fsm_state\[2\],81.615µm
net1506,81.59µm
_10887_,81.5µm
_06175_,81.44µm
_12393_,81.42µm
_06937_,81.28µm
net54,81.22µm
chacha_unit.key\[204\],81.2µm
_11168_,81.18µm
_14058_,81.18µm
net1688,81.14µm
_10721_,81.08µm
_15153_,80.98µm
_07075_,80.96µm
_08072_,80.94µm
chacha_unit.key\[225\],80.94µm
_14993_,80.92µm
clknet_leaf_60_clk,80.92µm
_08929_,80.84µm
_10236_,80.84µm
net1556,80.82µm
_14439_,80.8µm
chacha_unit.key\[100\],80.62µm
chacha_unit.key\[78\],80.55µm
clknet_leaf_333_clk,80.52µm
_09372_,80.5µm
_11405_,80.48µm
clknet_leaf_110_clk,80.46µm
_07887_,80.44µm
chacha_unit.ciphertext\[445\],80.44µm
clknet_leaf_116_clk,80.4µm
clknet_leaf_92_clk,80.38µm
clknet_leaf_206_clk,80.38µm
chacha_unit.key\[230\],80.34µm
_15161_,80.3µm
clknet_leaf_173_clk,80.24µm
_07369_,80.18µm
_12171_,80.14µm
_12592_,80.14µm
net956,80.12µm
net1625,80.11µm
_05818_,80.04µm
net1147,80.02µm
_13441_,79.98µm
clknet_leaf_0_clk,79.92µm
net2040,79.92µm
_12199_,79.88µm
_05551_,79.855µm
_03547_,79.84µm
_04790_,79.765µm
net1466,79.75µm
chacha_unit.ciphertext\[413\],79.7µm
_08262_,79.58µm
_10624_,79.54µm
_14332_,79.5µm
clknet_leaf_162_clk,79.5µm
_08318_,79.48µm
_13420_,79.45µm
_08401_,79.44µm
_12460_,79.4µm
_11169_,79.38µm
net1489,79.37µm
clknet_leaf_17_clk,79.3µm
chacha_unit.nonce\[78\],79.28µm
_07436_,79.26µm
_10842_,79.22µm
_03050_,79.2µm
net1682,79.18µm
chacha_unit.ciphertext\[91\],79.14µm
net1423,79.14µm
clknet_leaf_71_clk,79.07µm
_07421_,78.98µm
_13513_,78.86µm
net1140,78.84µm
_15262_,78.8µm
_15267_,78.8µm
_13539_,78.78µm
_03440_,78.76µm
_14336_,78.76µm
clknet_leaf_370_clk,78.76µm
clknet_leaf_119_clk,78.74µm
clknet_leaf_302_clk,78.52µm
_03017_,78.45µm
_10774_,78.42µm
_09617_,78.32µm
_08048_,78.26µm
net1429,78.22µm
net1636,78.18µm
clknet_leaf_335_clk,78.14µm
clknet_leaf_279_clk,78.1µm
chacha_unit.ciphertext\[217\],78.09µm
_14189_,78.08µm
net1412,78.05µm
_12400_,77.94µm
_10025_,77.92µm
_09134_,77.9µm
chacha_unit.key\[237\],77.76µm
net1693,77.71µm
_13425_,77.7µm
net1703,77.67µm
_13039_,77.53µm
clknet_leaf_154_clk,77.4µm
_09201_,77.36µm
net1646,77.34µm
chacha_unit.U_QR_COL_2.in_a\[13\],77.3µm
_12863_,77.28µm
chacha_unit.ciphertext\[274\],77.22µm
chacha_unit.key\[36\],77.2µm
_15314_,77.14µm
_10883_,77.12µm
_04469_,77µm
chacha_unit.ciphertext\[89\],76.98µm
_10650_,76.96µm
_14522_,76.96µm
net598,76.94µm
_15230_,76.88µm
_04557_,76.86µm
_04103_,76.82µm
_13617_,76.76µm
_10787_,76.74µm
_07358_,76.68µm
_10011_,76.56µm
_09809_,76.46µm
_14754_,76.46µm
_08838_,76.415µm
clknet_leaf_197_clk,76.38µm
clknet_leaf_76_clk,76.3µm
_03473_,76.26µm
_11055_,76.26µm
_06065_,76.08µm
_14618_,76.06µm
_03570_,76.05µm
clknet_leaf_169_clk,76µm
net1550,75.92µm
_12337_,75.86µm
_08698_,75.85µm
clknet_leaf_318_clk,75.84µm
_06615_,75.74µm
clknet_leaf_7_clk,75.68µm
_04379_,75.67µm
_11929_,75.6µm
chacha_unit.U_QR_COL_3.in_a\[6\],75.51µm
_14070_,75.5µm
chacha_unit.ciphertext\[379\],75.5µm
_10453_,75.46µm
clknet_leaf_9_clk,75.46µm
_03331_,75.38µm
_04718_,75.38µm
chacha_unit.key\[83\],75.335µm
_11920_,75.32µm
_15198_,75.27µm
clknet_leaf_215_clk,75.245µm
_15461_,75.24µm
chacha_unit.key\[86\],75.14µm
clknet_leaf_298_clk,75.08µm
_05725_,75.06µm
_03770_,75.04µm
_12457_,75.04µm
net1425,75µm
_14415_,74.99µm
_10566_,74.88µm
_14601_,74.88µm
clknet_leaf_303_clk,74.82µm
clknet_leaf_42_clk,74.74µm
_03893_,74.66µm
_04450_,74.66µm
_07204_,74.64µm
_10961_,74.6µm
_04767_,74.58µm
_05463_,74.54µm
clknet_leaf_123_clk,74.54µm
_07247_,74.52µm
_15420_,74.5µm
_13761_,74.46µm
_03595_,74.43µm
_07604_,74.42µm
_09593_,74.38µm
_11173_,74.38µm
_04449_,74.36µm
chacha_unit.ciphertext\[275\],74.34µm
net1485,74.25µm
_10181_,74.24µm
chacha_unit.ciphertext\[315\],74.24µm
_10161_,74.22µm
_05289_,74.18µm
_08076_,74.18µm
chacha_unit.ciphertext\[30\],74.18µm
net36,74.14µm
_14923_,74.1µm
chacha_unit.key\[249\],74.1µm
_14567_,74.055µm
clknet_leaf_69_clk,74.03µm
_08470_,73.96µm
net1593,73.91µm
_15586_,73.89µm
clknet_leaf_357_clk,73.86µm
_11916_,73.82µm
clknet_leaf_267_clk,73.8µm
_10240_,73.74µm
clknet_leaf_143_clk,73.74µm
clknet_leaf_263_clk,73.71µm
clknet_leaf_350_clk,73.7µm
_05814_,73.68µm
clknet_leaf_310_clk,73.68µm
_13380_,73.63µm
net28,73.62µm
net1396,73.6µm
_05554_,73.59µm
_12649_,73.535µm
chacha_unit.ciphertext\[211\],73.52µm
chacha_unit.key\[123\],73.48µm
_07695_,73.46µm
_05538_,73.38µm
clknet_leaf_85_clk,73.37µm
clknet_leaf_55_clk,73.36µm
_15352_,73.34µm
clknet_leaf_99_clk,73.34µm
_08289_,73.29µm
_03574_,73.28µm
_12147_,73.25µm
_08226_,73.24µm
_08307_,73.24µm
_14759_,73.24µm
_07180_,73.2µm
_08659_,73.18µm
clknet_leaf_193_clk,73.18µm
clknet_leaf_261_clk,73.08µm
_06296_,73.07µm
_15348_,73.04µm
clknet_leaf_372_clk,73.04µm
net1662,73.03µm
clknet_leaf_161_clk,72.96µm
_11789_,72.9µm
chacha_unit.ciphertext\[507\],72.86µm
clknet_leaf_120_clk,72.85µm
_03718_,72.84µm
_03710_,72.72µm
_11805_,72.68µm
_10439_,72.64µm
_03517_,72.58µm
net1480,72.57µm
_14213_,72.56µm
_07208_,72.46µm
_04682_,72.45µm
net1391,72.45µm
_14824_,72.42µm
_15016_,72.3µm
_10614_,72.14µm
_03109_,72.08µm
_14081_,72.03µm
_08495_,72.02µm
